datetime;dst;src;src_vendor;randomized;rssi;idx;seq_num;ch_freq;FCfield;ssid;dot11elt;oui;truth
2024-02-29 14:58:10.059176;ff:ff:ff:ff:ff:ff;66:58:1d:23:09:d6;;1;-90;74;1285;2432;;SSID_00843102;[0, 1, 50, 3, 45, 127, 107];[];11.0
2024-02-29 14:58:10.062121;ff:ff:ff:ff:ff:ff;66:58:1d:23:09:d6;;1;-89;75;1286;2432;;;[0, 1, 50, 3, 45, 127, 107];[];11.0
2024-02-29 14:58:10.113362;ff:ff:ff:ff:ff:ff;66:58:1d:23:09:d6;;1;-87;76;1289;2437;;SSID_00843102;[0, 1, 50, 3, 45, 127, 107];[];11.0
2024-02-29 14:58:10.114336;ff:ff:ff:ff:ff:ff;66:58:1d:23:09:d6;;1;-88;77;1290;2437;;;[0, 1, 50, 3, 45, 127, 107];[];11.0
2024-02-29 14:58:10.726439;ff:ff:ff:ff:ff:ff;dc:fb:48:00:51:90;Intel Corporate;0;-52;78;153;2442;;;[0, 1, 50, 45, 127, 221];[5271450];11.0
2024-02-29 14:58:10.877319;ff:ff:ff:ff:ff:ff;dc:fb:48:00:51:90;Intel Corporate;0;-51;79;161;2457;;;[0, 1, 50, 45, 127, 221];[5271450];11.0
2024-02-29 14:58:10.890928;ff:ff:ff:ff:ff:ff;dc:fb:48:00:51:90;Intel Corporate;0;-49;80;162;2457;;;[0, 1, 50, 45, 127, 221];[5271450];11.0
2024-02-29 14:58:10.920461;ff:ff:ff:ff:ff:ff;dc:fb:48:00:51:90;Intel Corporate;0;-49;81;163;2462;;;[0, 1, 50, 45, 127, 221];[5271450];11.0
2024-02-29 14:58:12.148518;ff:ff:ff:ff:ff:ff;e6:79:f9:41:6b:fb;;1;-86;82;3189;2417;;;[0, 1, 50, 3, 45, 127, 255];[];11.0
2024-02-29 14:58:12.950197;ff:ff:ff:ff:ff:ff;b0:de:28:bc:05:25;Apple, Inc.;0;-92;83;1969;2442;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];11.0
2024-02-29 14:58:14.306527;ff:ff:ff:ff:ff:ff;40:ec:99:f9:34:a6;Intel Corporate;0;-58;84;2568;2462;;;[0, 1, 50, 45, 127, 221];[5271450];11.0
2024-02-29 14:58:15.424409;ff:ff:ff:ff:ff:ff;b6:d4:a6:d9:83:e2;;1;-76;85;2820;2417;;SSID_56211587;[0, 1, 50, 221, 3];[20722];11.0
2024-02-29 14:58:15.483975;ff:ff:ff:ff:ff:ff;b6:d4:a6:d9:83:e2;;1;-77;86;2822;2422;;SSID_56211587;[0, 1, 50, 221, 3];[20722];11.0
2024-02-29 14:58:15.612083;ff:ff:ff:ff:ff:ff;b6:d4:a6:d9:83:e2;;1;-77;87;2825;2437;;SSID_56211587;[0, 1, 50, 221, 3];[20722];11.0
2024-02-29 14:58:15.662508;ff:ff:ff:ff:ff:ff;b6:d4:a6:d9:83:e2;;1;-74;88;2827;2442;;SSID_56211587;[0, 1, 50, 221, 3];[20722];11.0
2024-02-29 14:58:16.234613;ff:ff:ff:ff:ff:ff;2a:b5:66:d0:40:83;;1;-74;89;379;2442;;;[0, 1, 50, 3, 45, 127, 255];[];11.0
2024-02-29 14:58:16.346151;ff:ff:ff:ff:ff:ff;ae:63:1c:80:b1:5f;;1;-71;90;2936;2452;;;[0, 1, 50, 3, 45, 127, 255];[];11.0
2024-02-29 14:58:16.480461;ff:ff:ff:ff:ff:ff;ce:83:14:5c:39:d0;;1;-70;91;3614;2462;;;[0, 1, 50, 3, 45, 127, 255];[];11.0
2024-02-29 14:58:16.500693;ff:ff:ff:ff:ff:ff;ce:83:14:5c:39:d0;;1;-70;92;3615;2462;;;[0, 1, 50, 3, 45, 127, 255];[];11.0
2024-02-29 14:58:16.665709;ff:ff:ff:ff:ff:ff;f2:bd:45:85:65:43;;1;-67;93;3451;2432;;;[0, 1, 50, 3, 45, 127, 255];[];11.0
2024-02-29 14:58:16.775177;ff:ff:ff:ff:ff:ff;5c:ba:ef:b6:14:22;CHONGQING FUGUI ELECTRONICS CO.,LTD.;0;-87;94;1436;2442;;;[0, 1, 50, 127, 221];[5271450];11.0
