datetime;dst;src;src_vendor;randomized;rssi;idx;seq_num;ch_freq;FCfield;ssid;dot11elt;oui;occupancy;n_devices
2025-04-03 13:01:11.794625;ff:ff:ff:ff:ff:ff;da:a1:19:9b:b7:3f;Google, Inc.;1;-72;39;2926;2442;;;[0, 1, 3, 50, 45, 127, 221];[20722];0.0;nan
2025-04-03 13:01:13.051810;ff:ff:ff:ff:ff:ff;94:65:9c:58:74:73;Intel Corporate;0;-97;40;221;2462;;SSID_21301931;[0, 1, 50, 45];[];0.0;nan
2025-04-03 13:01:13.664400;ff:ff:ff:ff:ff:ff;42:bb:d3:44:15:4a;;1;-72;41;1628;2462;;;[0, 1, 50, 3, 45, 127, 255];[];0.0;nan
2025-04-03 13:01:18.796245;ff:ff:ff:ff:ff:ff;2c:98:11:a3:38:33;CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.;0;-84;42;4079;2432;;;[0, 1, 50, 3, 127, 221];[5271450];0.0;nan
2025-04-03 13:01:18.855583;ff:ff:ff:ff:ff:ff;2c:98:11:a3:38:33;CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.;0;-83;43;4080;2437;;;[0, 1, 50, 3, 127, 221];[5271450];0.0;nan
2025-04-03 13:01:18.856378;ff:ff:ff:ff:ff:ff;2c:98:11:a3:38:33;CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.;0;-83;44;4081;2437;;;[0, 1, 50, 3, 127, 221];[5271450];0.0;nan
2025-04-03 13:01:18.943375;ff:ff:ff:ff:ff:ff;2c:98:11:a3:38:33;CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.;0;-84;45;4082;2442;;;[0, 1, 50, 3, 127, 221];[5271450];0.0;nan
2025-04-03 13:01:18.944145;ff:ff:ff:ff:ff:ff;2c:98:11:a3:38:33;CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.;0;-84;46;4083;2442;;;[0, 1, 50, 3, 127, 221];[5271450];0.0;nan
2025-04-03 13:01:22.575306;ff:ff:ff:ff:ff:ff;ae:e5:e9:bc:f6:b4;;1;-94;47;1944;2422;;;[0, 1, 50, 3, 45, 127, 255];[];0.0;nan
2025-04-03 13:01:22.585514;ff:ff:ff:ff:ff:ff;ae:e5:e9:bc:f6:b4;;1;-93;48;1945;2422;;;[0, 1, 50, 3, 45, 127, 255];[];0.0;nan
2025-04-03 13:01:22.779444;ff:ff:ff:ff:ff:ff;d2:c9:95:36:93:34;;1;-75;49;3631;2442;;;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];0.0;nan
2025-04-03 13:01:22.873123;ff:ff:ff:ff:ff:ff;86:f7:e2:11:d8:7f;;1;-76;50;2316;2452;;;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];0.0;nan
2025-04-03 13:01:23.061461;ff:ff:ff:ff:ff:ff;c0:3c:59:ab:d0:24;Intel Corporate;0;-81;51;298;2417;;SSID_56211587;[0, 1, 50, 45, 127, 255, 255, 221];[5271450];0.0;nan
2025-04-03 13:01:24.739737;ff:ff:ff:ff:ff:ff;1e:cb:ab:93:1e:f3;;1;-82;52;332;2417;;;[0, 1, 50, 3, 45, 127, 255];[];0.0;nan
2025-04-03 13:01:31.392383;ff:ff:ff:ff:ff:ff;ba:85:ce:ed:15:37;;1;-86;53;1363;2422;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];0.0;nan
2025-04-03 13:01:36.576966;ff:ff:ff:ff:ff:ff;da:e5:97:f5:b5:e9;;1;-86;54;787;2447;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];0.0;nan
2025-04-03 13:01:39.026891;ff:ff:ff:ff:ff:ff;9a:79:e9:75:20:e8;;1;-81;55;1464;2417;;;[0, 1, 50, 3, 45, 127, 255];[];0.0;nan
2025-04-03 13:01:39.100847;ff:ff:ff:ff:ff:ff;fa:76:05:45:cb:da;;1;-85;56;1453;2427;;;[0, 1, 50, 3, 45, 127, 255];[];0.0;nan
2025-04-03 13:01:39.548613;ff:ff:ff:ff:ff:ff;00:13:ef:ca:d5:d2;Kingjon Digital Technology Co.,Ltd;0;-86;57;597;2417;;;[0, 1, 50, 45, 70, 127];[];0.0;nan
2025-04-03 13:01:39.549559;ff:ff:ff:ff:ff:ff;00:13:ef:ca:d5:d2;Kingjon Digital Technology Co.,Ltd;0;-86;58;598;2417;;;[0, 1, 50, 45, 70, 127];[];0.0;nan
2025-04-03 13:01:39.550564;ff:ff:ff:ff:ff:ff;00:13:ef:ca:d5:d2;Kingjon Digital Technology Co.,Ltd;0;-87;59;599;2417;;;[0, 1, 50, 45, 70, 127];[];0.0;nan
2025-04-03 13:01:41.788380;ff:ff:ff:ff:ff:ff;46:a5:1a:0b:06:22;;1;-86;60;2114;2417;;;[0, 1, 50, 221, 3];[20722];0.0;nan
2025-04-03 13:01:41.789064;ff:ff:ff:ff:ff:ff;46:a5:1a:0b:06:22;;1;-86;61;2115;2417;;;[0, 1, 50, 221, 3];[20722];0.0;nan
2025-04-03 13:01:41.823586;ff:ff:ff:ff:ff:ff;46:a5:1a:0b:06:22;;1;-82;62;2116;2422;;;[0, 1, 50, 221, 3];[20722];0.0;nan
2025-04-03 13:01:41.824276;ff:ff:ff:ff:ff:ff;46:a5:1a:0b:06:22;;1;-82;63;2117;2422;;;[0, 1, 50, 221, 3];[20722];0.0;nan
2025-04-03 13:01:41.846843;ff:ff:ff:ff:ff:ff;46:a5:1a:0b:06:22;;1;-81;64;2118;2427;;;[0, 1, 50, 221, 3];[20722];0.0;nan
2025-04-03 13:01:41.847574;ff:ff:ff:ff:ff:ff;46:a5:1a:0b:06:22;;1;-81;65;2119;2427;;;[0, 1, 50, 221, 3];[20722];0.0;nan
2025-04-03 13:01:43.508031;ff:ff:ff:ff:ff:ff;da:e5:97:f5:b5:e9;;1;-85;66;829;2427;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];0.0;nan
2025-04-03 13:01:46.144553;ff:ff:ff:ff:ff:ff;06:a9:47:95:14:ac;;1;-94;67;1479;2462;;;[0, 1, 50, 3, 45, 127, 255];[];0.0;nan
2025-04-03 13:01:46.923196;ff:ff:ff:ff:ff:ff;94:65:9c:58:74:73;Intel Corporate;0;-94;68;238;2437;;;[0, 1, 50, 45];[];0.0;nan
2025-04-03 13:01:49.018011;ff:ff:ff:ff:ff:ff;02:e0:59:ac:3f:81;;1;-75;69;1292;2427;;;[0, 1, 50, 3, 45, 127, 255];[];0.0;nan
2025-04-03 13:01:49.054893;ff:ff:ff:ff:ff:ff;9a:28:36:93:07:e1;;1;-74;70;3252;2432;;;[0, 1, 50, 3, 45, 127, 255];[];0.0;nan
2025-04-03 13:01:49.242768;ff:ff:ff:ff:ff:ff;7a:cc:c5:5f:b5:1e;;1;-79;71;2023;2447;;;[0, 1, 50, 3, 45, 127, 255];[];0.0;nan
2025-04-03 13:01:49.255183;ff:ff:ff:ff:ff:ff;76:96:f9:d6:f9:98;;1;-77;72;3334;2452;;;[0, 1, 50, 3, 45, 127, 255];[];0.0;nan
2025-04-03 13:01:49.306420;ff:ff:ff:ff:ff:ff;e6:ee:a8:c6:5e:e2;;1;-78;73;3660;2457;;;[0, 1, 50, 3, 45, 127, 255];[];0.0;nan
2025-04-03 13:01:49.474661;ff:ff:ff:ff:ff:ff;ea:24:a4:b4:64:d3;;1;-86;74;670;2417;;;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];0.0;nan
2025-04-03 13:01:51.359922;ff:ff:ff:ff:ff:ff;9e:80:91:1f:33:5f;;1;-63;75;73;2442;;;[0, 1, 50, 3, 45, 127, 107, 221, 221, 221];[6130, 20722, 4120];0.0;nan
2025-04-03 13:01:51.380212;ff:ff:ff:ff:ff:ff;9e:80:91:1f:33:5f;;1;-64;76;74;2442;;;[0, 1, 50, 3, 45, 127, 107, 221, 221, 221];[6130, 20722, 4120];0.0;nan
2025-04-03 13:01:52.641400;ff:ff:ff:ff:ff:ff;ea:51:89:80:4d:c0;;1;-94;77;2296;2457;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];0.0;nan
2025-04-03 13:01:55.021958;ff:ff:ff:ff:ff:ff;c0:3c:59:ab:d0:24;Intel Corporate;0;-77;78;4;2422;;SSID_56211587;[0, 1, 50, 45, 127, 255, 255, 221];[5271450];0.0;nan
2025-04-03 13:01:59.281816;ff:ff:ff:ff:ff:ff;8e:09:79:cc:6c:fd;;1;-95;79;1620;2462;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 221, 221];[20722, 5271450, 9240048];0.0;nan
2025-04-03 13:02:00.171467;ff:ff:ff:ff:ff:ff;c6:fa:1b:5b:22:54;;1;-78;80;3332;2442;;;[0, 1, 50, 3, 45, 127, 255];[];16.0;nan
2025-04-03 13:02:00.210930;ff:ff:ff:ff:ff:ff;82:82:97:90:c5:a8;;1;-79;81;2460;2447;;;[0, 1, 50, 3, 45, 127, 255];[];16.0;nan
2025-04-03 13:02:01.098924;ff:ff:ff:ff:ff:ff;e6:fe:3b:10:c4:fb;;1;-76;82;618;2427;;;[0, 1, 50, 3, 45, 127, 255];[];16.0;nan
2025-04-03 13:02:01.119174;ff:ff:ff:ff:ff:ff;e6:fe:3b:10:c4:fb;;1;-75;83;619;2427;;;[0, 1, 50, 3, 45, 127, 255];[];16.0;nan
2025-04-03 13:02:03.033217;ff:ff:ff:ff:ff:ff;a2:0b:84:a6:e3:00;;1;-75;84;149;2452;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 255, 221, 221];[20722, 5271450, 9240048];16.0;nan
2025-04-03 13:02:05.104998;ff:ff:ff:ff:ff:ff;76:0e:e1:a9:ff:b3;;1;-81;85;26;2442;;SSID_56211587;[0, 1, 50, 3, 45, 127, 191, 255, 255, 221];[5271450];16.0;nan
2025-04-03 13:02:05.122646;ff:ff:ff:ff:ff:ff;76:0e:e1:a9:ff:b3;;1;-82;86;27;2442;;SSID_56211587;[0, 1, 50, 3, 45, 127, 191, 255, 255, 221];[5271450];16.0;nan
2025-04-03 13:02:06.219288;ff:ff:ff:ff:ff:ff;76:0e:e1:a9:ff:b3;;1;-90;87;42;2442;;SSID_56211587;[0, 1, 50, 3, 45, 127, 191, 255, 255, 221];[5271450];16.0;nan
2025-04-03 13:02:06.241326;ff:ff:ff:ff:ff:ff;76:0e:e1:a9:ff:b3;;1;-89;88;43;2442;;SSID_56211587;[0, 1, 50, 3, 45, 127, 191, 255, 255, 221];[5271450];16.0;nan
2025-04-03 13:02:08.642080;ff:ff:ff:ff:ff:ff;06:d6:4b:eb:fc:8d;;1;-62;89;1050;2462;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 255, 221, 221];[20722, 5271450, 9240048];16.0;nan
2025-04-03 13:02:08.664770;ff:ff:ff:ff:ff:ff;06:d6:4b:eb:fc:8d;;1;-66;90;1051;2462;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 255, 221, 221];[20722, 5271450, 9240048];16.0;nan
